fight_url,event_name,event_url,fighter_f1,fighter_f2,fighter_f1_url,fighter_f2_url,outcome_f1,outcome_f2,nickname_f1,nickname_f2,bout_type,is_title_bout,perf_bonus,method,round,time,time_format,referee,details,totals_perround_round_1_fighter_f1,totals_perround_round_1_fighter_f2,totals_perround_round_1_fighter_f1_url,totals_perround_round_1_fighter_f2_url,totals_perround_round_1_kd_f1,totals_perround_round_1_kd_f2,totals_perround_round_1_sig_str_f1,totals_perround_round_1_sig_str_f2,totals_perround_round_1_total_str_f1,totals_perround_round_1_total_str_f2,totals_perround_round_1_td_f1,totals_perround_round_1_td_f2,totals_perround_round_1_sub_att_f1,totals_perround_round_1_sub_att_f2,totals_perround_round_1_rev_f1,totals_perround_round_1_rev_f2,totals_perround_round_1_ctrl_f1,totals_perround_round_1_ctrl_f2,totals_perround_round_2_fighter_f1,totals_perround_round_2_fighter_f2,totals_perround_round_2_fighter_f1_url,totals_perround_round_2_fighter_f2_url,totals_perround_round_2_kd_f1,totals_perround_round_2_kd_f2,totals_perround_round_2_sig_str_f1,totals_perround_round_2_sig_str_f2,totals_perround_round_2_total_str_f1,totals_perround_round_2_total_str_f2,totals_perround_round_2_td_f1,totals_perround_round_2_td_f2,totals_perround_round_2_sub_att_f1,totals_perround_round_2_sub_att_f2,totals_perround_round_2_rev_f1,totals_perround_round_2_rev_f2,totals_perround_round_2_ctrl_f1,totals_perround_round_2_ctrl_f2,totals_perround_round_3_fighter_f1,totals_perround_round_3_fighter_f2,totals_perround_round_3_fighter_f1_url,totals_perround_round_3_fighter_f2_url,totals_perround_round_3_kd_f1,totals_perround_round_3_kd_f2,totals_perround_round_3_sig_str_f1,totals_perround_round_3_sig_str_f2,totals_perround_round_3_total_str_f1,totals_perround_round_3_total_str_f2,totals_perround_round_3_td_f1,totals_perround_round_3_td_f2,totals_perround_round_3_sub_att_f1,totals_perround_round_3_sub_att_f2,totals_perround_round_3_rev_f1,totals_perround_round_3_rev_f2,totals_perround_round_3_ctrl_f1,totals_perround_round_3_ctrl_f2,significant_strikes_perround_round_1_fighter_f1,significant_strikes_perround_round_1_fighter_f2,significant_strikes_perround_round_1_fighter_f1_url,significant_strikes_perround_round_1_fighter_f2_url,significant_strikes_perround_round_1_sig_str_f1,significant_strikes_perround_round_1_sig_str_f2,significant_strikes_perround_round_1_head_f1,significant_strikes_perround_round_1_head_f2,significant_strikes_perround_round_1_body_f1,significant_strikes_perround_round_1_body_f2,significant_strikes_perround_round_1_leg_f1,significant_strikes_perround_round_1_leg_f2,significant_strikes_perround_round_1_distance_f1,significant_strikes_perround_round_1_distance_f2,significant_strikes_perround_round_1_clinch_f1,significant_strikes_perround_round_1_clinch_f2,significant_strikes_perround_round_1_ground_f1,significant_strikes_perround_round_1_ground_f2,significant_strikes_perround_round_2_fighter_f1,significant_strikes_perround_round_2_fighter_f2,significant_strikes_perround_round_2_fighter_f1_url,significant_strikes_perround_round_2_fighter_f2_url,significant_strikes_perround_round_2_sig_str_f1,significant_strikes_perround_round_2_sig_str_f2,significant_strikes_perround_round_2_head_f1,significant_strikes_perround_round_2_head_f2,significant_strikes_perround_round_2_body_f1,significant_strikes_perround_round_2_body_f2,significant_strikes_perround_round_2_leg_f1,significant_strikes_perround_round_2_leg_f2,significant_strikes_perround_round_2_distance_f1,significant_strikes_perround_round_2_distance_f2,significant_strikes_perround_round_2_clinch_f1,significant_strikes_perround_round_2_clinch_f2,significant_strikes_perround_round_2_ground_f1,significant_strikes_perround_round_2_ground_f2,significant_strikes_perround_round_3_fighter_f1,significant_strikes_perround_round_3_fighter_f2,significant_strikes_perround_round_3_fighter_f1_url,significant_strikes_perround_round_3_fighter_f2_url,significant_strikes_perround_round_3_sig_str_f1,significant_strikes_perround_round_3_sig_str_f2,significant_strikes_perround_round_3_head_f1,significant_strikes_perround_round_3_head_f2,significant_strikes_perround_round_3_body_f1,significant_strikes_perround_round_3_body_f2,significant_strikes_perround_round_3_leg_f1,significant_strikes_perround_round_3_leg_f2,significant_strikes_perround_round_3_distance_f1,significant_strikes_perround_round_3_distance_f2,significant_strikes_perround_round_3_clinch_f1,significant_strikes_perround_round_3_clinch_f2,significant_strikes_perround_round_3_ground_f1,significant_strikes_perround_round_3_ground_f2,totals_perround_round_4_fighter_f1,totals_perround_round_4_fighter_f2,totals_perround_round_4_fighter_f1_url,totals_perround_round_4_fighter_f2_url,totals_perround_round_4_kd_f1,totals_perround_round_4_kd_f2,totals_perround_round_4_sig_str_f1,totals_perround_round_4_sig_str_f2,totals_perround_round_4_total_str_f1,totals_perround_round_4_total_str_f2,totals_perround_round_4_td_f1,totals_perround_round_4_td_f2,totals_perround_round_4_sub_att_f1,totals_perround_round_4_sub_att_f2,totals_perround_round_4_rev_f1,totals_perround_round_4_rev_f2,totals_perround_round_4_ctrl_f1,totals_perround_round_4_ctrl_f2,significant_strikes_perround_round_4_fighter_f1,significant_strikes_perround_round_4_fighter_f2,significant_strikes_perround_round_4_fighter_f1_url,significant_strikes_perround_round_4_fighter_f2_url,significant_strikes_perround_round_4_sig_str_f1,significant_strikes_perround_round_4_sig_str_f2,significant_strikes_perround_round_4_head_f1,significant_strikes_perround_round_4_head_f2,significant_strikes_perround_round_4_body_f1,significant_strikes_perround_round_4_body_f2,significant_strikes_perround_round_4_leg_f1,significant_strikes_perround_round_4_leg_f2,significant_strikes_perround_round_4_distance_f1,significant_strikes_perround_round_4_distance_f2,significant_strikes_perround_round_4_clinch_f1,significant_strikes_perround_round_4_clinch_f2,significant_strikes_perround_round_4_ground_f1,significant_strikes_perround_round_4_ground_f2,totals_perround_round_5_fighter_f1,totals_perround_round_5_fighter_f2,totals_perround_round_5_fighter_f1_url,totals_perround_round_5_fighter_f2_url,totals_perround_round_5_kd_f1,totals_perround_round_5_kd_f2,totals_perround_round_5_sig_str_f1,totals_perround_round_5_sig_str_f2,totals_perround_round_5_total_str_f1,totals_perround_round_5_total_str_f2,totals_perround_round_5_td_f1,totals_perround_round_5_td_f2,totals_perround_round_5_sub_att_f1,totals_perround_round_5_sub_att_f2,totals_perround_round_5_rev_f1,totals_perround_round_5_rev_f2,totals_perround_round_5_ctrl_f1,totals_perround_round_5_ctrl_f2,significant_strikes_perround_round_5_fighter_f1,significant_strikes_perround_round_5_fighter_f2,significant_strikes_perround_round_5_fighter_f1_url,significant_strikes_perround_round_5_fighter_f2_url,significant_strikes_perround_round_5_sig_str_f1,significant_strikes_perround_round_5_sig_str_f2,significant_strikes_perround_round_5_head_f1,significant_strikes_perround_round_5_head_f2,significant_strikes_perround_round_5_body_f1,significant_strikes_perround_round_5_body_f2,significant_strikes_perround_round_5_leg_f1,significant_strikes_perround_round_5_leg_f2,significant_strikes_perround_round_5_distance_f1,significant_strikes_perround_round_5_distance_f2,significant_strikes_perround_round_5_clinch_f1,significant_strikes_perround_round_5_clinch_f2,significant_strikes_perround_round_5_ground_f1,significant_strikes_perround_round_5_ground_f2
http://ufcstats.com/fight-details/012c307c9d446c4d,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Shara Magomedov,Michel Pereira,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/595db60957de51d3,W,L,"""Bullet""","""Demolidor""",Middleweight Bout,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Shara Magomedov,Michel Pereira,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/595db60957de51d3,0,1,85%,53%,53 of 71,37 of 56,---,---,0,0,1,0,0:42,3:24,Shara Magomedov,Michel Pereira,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/595db60957de51d3,0,0,57%,35%,20 of 35,6 of 17,---,---,0,0,0,0,0:00,0:00,Shara Magomedov,Michel Pereira,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/595db60957de51d3,0,0,60%,37%,39 of 59,18 of 40,---,0%,0,0,0,0,0:11,0:40,Shara Magomedov,Michel Pereira,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/595db60957de51d3,85%,53%,3 of 4,14 of 28,0 of 0,2 of 2,3 of 3,0 of 0,4 of 4,1 of 3,0 of 0,0 of 0,2 of 3,15 of 27,Shara Magomedov,Michel Pereira,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/595db60957de51d3,57%,35%,4 of 16,3 of 11,7 of 9,2 of 5,9 of 10,1 of 1,19 of 33,6 of 17,1 of 2,0 of 0,0 of 0,0 of 0,Shara Magomedov,Michel Pereira,http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fighter-details/595db60957de51d3,60%,37%,9 of 19,4 of 16,11 of 15,5 of 9,6 of 9,4 of 10,21 of 38,12 of 34,4 of 4,1 of 1,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/809814f03ff3140c,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Nazim Sadykhov,Matheus Camilo,http://ufcstats.com/fighter-details/ff62013d2fce6d13,http://ufcstats.com/fighter-details/72f890c5d421e705,L,W,"""Black Wolf""","""Jaguar""",Lightweight Bout,0,0,KO/TKO,1,1:31,3 Rnd (5-5-5),Rich Mitchell,,Nazim Sadykhov,Matheus Camilo,http://ufcstats.com/fighter-details/ff62013d2fce6d13,http://ufcstats.com/fighter-details/72f890c5d421e705,0,1,0%,40%,0 of 16,4 of 10,---,---,0,0,0,0,0:00,0:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nazim Sadykhov,Matheus Camilo,http://ufcstats.com/fighter-details/ff62013d2fce6d13,http://ufcstats.com/fighter-details/72f890c5d421e705,0%,40%,0 of 10,3 of 8,0 of 1,0 of 0,0 of 5,1 of 2,0 of 16,2 of 6,0 of 0,0 of 0,0 of 0,2 of 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/81cde317c156723b,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Asu Almabayev,Charles Johnson,http://ufcstats.com/fighter-details/8d3273573b85be09,http://ufcstats.com/fighter-details/814e5233e2acf2ee,W,L,"""Zulfikar""","""InnerG""",Flyweight Bout,0,1,Submission,3,3:33,3 Rnd (5-5-5),Herb Dean,,Asu Almabayev,Charles Johnson,http://ufcstats.com/fighter-details/8d3273573b85be09,http://ufcstats.com/fighter-details/814e5233e2acf2ee,0,0,47%,36%,23 of 36,8 of 16,75%,---,0,0,0,0,3:19,0:00,Asu Almabayev,Charles Johnson,http://ufcstats.com/fighter-details/8d3273573b85be09,http://ufcstats.com/fighter-details/814e5233e2acf2ee,0,0,51%,50%,26 of 40,19 of 34,50%,---,0,0,0,0,2:26,0:00,Asu Almabayev,Charles Johnson,http://ufcstats.com/fighter-details/8d3273573b85be09,http://ufcstats.com/fighter-details/814e5233e2acf2ee,0,0,85%,50%,24 of 26,5 of 7,100%,---,1,1,0,0,3:03,0:00,Asu Almabayev,Charles Johnson,http://ufcstats.com/fighter-details/8d3273573b85be09,http://ufcstats.com/fighter-details/814e5233e2acf2ee,47%,36%,6 of 13,0 of 2,0 of 2,4 of 6,2 of 2,0 of 3,5 of 11,2 of 9,0 of 0,2 of 2,3 of 6,0 of 0,Asu Almabayev,Charles Johnson,http://ufcstats.com/fighter-details/8d3273573b85be09,http://ufcstats.com/fighter-details/814e5233e2acf2ee,51%,50%,5 of 16,4 of 15,6 of 7,4 of 7,3 of 4,7 of 8,10 of 22,14 of 28,1 of 1,1 of 2,3 of 4,0 of 0,Asu Almabayev,Charles Johnson,http://ufcstats.com/fighter-details/8d3273573b85be09,http://ufcstats.com/fighter-details/814e5233e2acf2ee,85%,50%,4 of 5,1 of 2,1 of 1,0 of 1,1 of 1,1 of 1,3 of 4,2 of 4,0 of 0,0 of 0,3 of 3,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/d83294b031502177,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Ikram Aliskerov,Brunno Ferreira,http://ufcstats.com/fighter-details/b07aed698fba8624,http://ufcstats.com/fighter-details/1e719d4b676dc19a,W,L,,"""The Hulk""",Middleweight Bout,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Ikram Aliskerov,Brunno Ferreira,http://ufcstats.com/fighter-details/b07aed698fba8624,http://ufcstats.com/fighter-details/1e719d4b676dc19a,0,0,51%,60%,39 of 57,7 of 12,66%,---,0,0,0,0,2:44,0:00,Ikram Aliskerov,Brunno Ferreira,http://ufcstats.com/fighter-details/b07aed698fba8624,http://ufcstats.com/fighter-details/1e719d4b676dc19a,0,0,51%,38%,24 of 45,11 of 28,100%,0%,0,0,0,0,2:30,0:07,Ikram Aliskerov,Brunno Ferreira,http://ufcstats.com/fighter-details/b07aed698fba8624,http://ufcstats.com/fighter-details/1e719d4b676dc19a,0,0,40%,15%,51 of 77,5 of 21,100%,---,1,0,0,0,3:39,0:00,Ikram Aliskerov,Brunno Ferreira,http://ufcstats.com/fighter-details/b07aed698fba8624,http://ufcstats.com/fighter-details/1e719d4b676dc19a,51%,60%,9 of 23,3 of 7,2 of 2,1 of 1,4 of 4,2 of 2,14 of 27,6 of 10,0 of 1,0 of 0,1 of 1,0 of 0,Ikram Aliskerov,Brunno Ferreira,http://ufcstats.com/fighter-details/b07aed698fba8624,http://ufcstats.com/fighter-details/1e719d4b676dc19a,51%,38%,13 of 31,8 of 24,5 of 6,1 of 1,2 of 2,1 of 1,17 of 35,10 of 26,0 of 0,0 of 0,3 of 4,0 of 0,Ikram Aliskerov,Brunno Ferreira,http://ufcstats.com/fighter-details/b07aed698fba8624,http://ufcstats.com/fighter-details/1e719d4b676dc19a,40%,15%,10 of 26,2 of 17,2 of 4,1 of 2,0 of 0,0 of 0,5 of 22,3 of 19,0 of 0,0 of 0,7 of 8,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/35985895d4ef321e,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Abus Magomedov,Michal Oleksiejczuk,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,http://ufcstats.com/fighter-details/0d65c432720accb9,W,L,,"""Hussar""",Middleweight Bout,0,0,Submission,1,3:25,3 Rnd (5-5-5),Jim Perdios,,Abus Magomedov,Michal Oleksiejczuk,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,http://ufcstats.com/fighter-details/0d65c432720accb9,1,0,37%,26%,10 of 27,5 of 19,---,---,1,0,0,0,0:36,0:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abus Magomedov,Michal Oleksiejczuk,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,http://ufcstats.com/fighter-details/0d65c432720accb9,37%,26%,5 of 20,1 of 12,4 of 5,2 of 4,1 of 2,2 of 3,9 of 25,5 of 19,1 of 1,0 of 0,0 of 1,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/6a35ff33b8597904,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Farman Hasanov,Eric Nolan,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,http://ufcstats.com/fighter-details/64b12fe31be7560c,W,L,"""The Lion""","""Night Time""",Welterweight Bout,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,,Farman Hasanov,Eric Nolan,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,http://ufcstats.com/fighter-details/64b12fe31be7560c,0,0,25%,0%,16 of 23,4 of 10,75%,---,0,0,0,0,4:27,0:00,Farman Hasanov,Eric Nolan,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,http://ufcstats.com/fighter-details/64b12fe31be7560c,0,0,58%,33%,18 of 31,11 of 25,45%,---,0,0,0,0,3:33,0:03,Farman Hasanov,Eric Nolan,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,http://ufcstats.com/fighter-details/64b12fe31be7560c,0,0,50%,32%,19 of 33,14 of 32,75%,---,0,0,0,0,3:12,0:00,Farman Hasanov,Eric Nolan,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,http://ufcstats.com/fighter-details/64b12fe31be7560c,25%,0%,1 of 4,0 of 5,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 5,0 of 0,0 of 0,1 of 3,0 of 0,Farman Hasanov,Eric Nolan,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,http://ufcstats.com/fighter-details/64b12fe31be7560c,58%,33%,10 of 17,7 of 21,0 of 0,0 of 0,0 of 0,0 of 0,9 of 16,7 of 21,0 of 0,0 of 0,1 of 1,0 of 0,Farman Hasanov,Eric Nolan,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,http://ufcstats.com/fighter-details/64b12fe31be7560c,50%,32%,9 of 18,7 of 24,1 of 2,1 of 1,0 of 0,0 of 0,10 of 20,8 of 25,0 of 0,0 of 0,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/48b1ee7ab45add4c,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Abdul Rakhman Yakhyaev,Julius Walker,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,http://ufcstats.com/fighter-details/6add18754930182b,W,L,"""The Hunter""","""Juice Box""",Light Heavyweight Bout,0,1,KO/TKO,1,0:08,3 Rnd (5-5-5),Jim Perdios,,Abdul Rakhman Yakhyaev,Julius Walker,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,http://ufcstats.com/fighter-details/6add18754930182b,1,0,75%,0%,6 of 8,0 of 1,---,---,0,0,0,0,0:03,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Rakhman Yakhyaev,Julius Walker,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,http://ufcstats.com/fighter-details/6add18754930182b,75%,0%,6 of 8,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 1,0 of 0,0 of 0,5 of 7,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/5e7f4ba1210f433d,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Nursulton Ruziboev,Andrey Pulyaev,http://ufcstats.com/fighter-details/49d2a08964c5eb11,http://ufcstats.com/fighter-details/22e07d3da1aa3475,W,L,"""Black""",,Middleweight Bout,0,0,Submission,1,3:58,3 Rnd (5-5-5),Marc Goddard,,Nursulton Ruziboev,Andrey Pulyaev,http://ufcstats.com/fighter-details/49d2a08964c5eb11,http://ufcstats.com/fighter-details/22e07d3da1aa3475,0,0,33%,33%,13 of 18,15 of 23,100%,---,1,0,0,0,2:28,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursulton Ruziboev,Andrey Pulyaev,http://ufcstats.com/fighter-details/49d2a08964c5eb11,http://ufcstats.com/fighter-details/22e07d3da1aa3475,33%,33%,0 of 1,0 of 4,1 of 2,2 of 2,0 of 0,0 of 0,1 of 3,2 of 6,0 of 0,0 of 0,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/1a7119f3996b5635,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Kaan Ofli,Javier Reyes,http://ufcstats.com/fighter-details/7facc9c45d792985,http://ufcstats.com/fighter-details/4a574b8512fc1b30,W,L,"""Genghis""","""Blair""",Featherweight Bout,0,0,Submission,1,4:16,3 Rnd (5-5-5),Rich Mitchell,,Kaan Ofli,Javier Reyes,http://ufcstats.com/fighter-details/7facc9c45d792985,http://ufcstats.com/fighter-details/4a574b8512fc1b30,1,0,65%,20%,42 of 53,7 of 35,---,---,1,0,0,0,0:32,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaan Ofli,Javier Reyes,http://ufcstats.com/fighter-details/7facc9c45d792985,http://ufcstats.com/fighter-details/4a574b8512fc1b30,65%,20%,9 of 17,3 of 29,4 of 5,2 of 4,4 of 4,2 of 2,13 of 21,7 of 35,0 of 0,0 of 0,4 of 5,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/0e60ab32f3d03929,UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/event-details/31e1ea6fe6b682f8,Daniil Donchenko,Theodor Berggren,http://ufcstats.com/fighter-details/70dd69b6a703257e,http://ufcstats.com/fighter-details/feef5f8f5629e5e7,W,L,,"""Simba""",Welterweight Bout,0,1,KO/TKO,2,1:35,3 Rnd (5-5-5),Herb Dean,,Daniil Donchenko,Theodor Berggren,http://ufcstats.com/fighter-details/70dd69b6a703257e,http://ufcstats.com/fighter-details/feef5f8f5629e5e7,0,0,69%,36%,58 of 83,23 of 54,---,---,0,0,0,0,0:20,0:17,Daniil Donchenko,Theodor Berggren,http://ufcstats.com/fighter-details/70dd69b6a703257e,http://ufcstats.com/fighter-details/feef5f8f5629e5e7,2,0,56%,35%,15 of 26,6 of 17,---,---,0,0,0,0,0:07,0:00,,,,,,,,,,,,,,,,,,,Daniil Donchenko,Theodor Berggren,http://ufcstats.com/fighter-details/70dd69b6a703257e,http://ufcstats.com/fighter-details/feef5f8f5629e5e7,69%,36%,9 of 28,12 of 37,25 of 30,4 of 9,23 of 24,1 of 1,51 of 74,14 of 43,6 of 8,3 of 4,0 of 0,0 of 0,Daniil Donchenko,Theodor Berggren,http://ufcstats.com/fighter-details/70dd69b6a703257e,http://ufcstats.com/fighter-details/feef5f8f5629e5e7,56%,35%,7 of 16,3 of 13,1 of 2,3 of 4,6 of 7,0 of 0,10 of 19,6 of 17,4 of 5,0 of 0,0 of 1,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
