event_name,fighter_f1,fighter_f2,outcome_f1,outcome_f2,bout_type,title,method,round,tot_fight_time,last_rnd_time,set_rounds,r1_kd_f1,r1_kd_f2,r1_sig_str_f1,r1_sig_str_f2,r1_total_str_f1,r1_total_str_f2,r1_td_f1,r1_td_f2,r1_sub_att_f1,r1_sub_att_f2,r1_rev_f1,r1_rev_f2,r1_ctrl_f1,r1_ctrl_f2,r2_kd_f1,r2_kd_f2,r2_sig_str_f1,r2_sig_str_f2,r2_total_str_f1,r2_total_str_f2,r2_td_f1,r2_td_f2,r2_sub_att_f1,r2_sub_att_f2,r2_rev_f1,r2_rev_f2,r2_ctrl_f1,r2_ctrl_f2,r3_kd_f1,r3_kd_f2,r3_sig_str_f1,r3_sig_str_f2,r3_total_str_f1,r3_total_str_f2,r3_td_f1,r3_td_f2,r3_sub_att_f1,r3_sub_att_f2,r3_rev_f1,r3_rev_f2,r3_ctrl_f1,r3_ctrl_f2,sg_strk_r1_sig_str_f1,sg_strk_r1_sig_str_f2,sg_strk_r1_head_f1,sg_strk_r1_head_f2,sg_strk_r1_body_f1,sg_strk_r1_body_f2,sg_strk_r1_leg_f1,sg_strk_r1_leg_f2,sg_strk_r1_distance_f1,sg_strk_r1_distance_f2,sg_strk_r1_clinch_f1,sg_strk_r1_clinch_f2,sg_strk_r1_grf1,sg_strk_r1_grf2,sg_strk_r2_sig_str_f1,sg_strk_r2_sig_str_f2,sg_strk_r2_head_f1,sg_strk_r2_head_f2,sg_strk_r2_body_f1,sg_strk_r2_body_f2,sg_strk_r2_leg_f1,sg_strk_r2_leg_f2,sg_strk_r2_distance_f1,sg_strk_r2_distance_f2,sg_strk_r2_clinch_f1,sg_strk_r2_clinch_f2,sg_strk_r2_grf1,sg_strk_r2_grf2,sg_strk_r3_sig_str_f1,sg_strk_r3_sig_str_f2,sg_strk_r3_head_f1,sg_strk_r3_head_f2,sg_strk_r3_body_f1,sg_strk_r3_body_f2,sg_strk_r3_leg_f1,sg_strk_r3_leg_f2,sg_strk_r3_distance_f1,sg_strk_r3_distance_f2,sg_strk_r3_clinch_f1,sg_strk_r3_clinch_f2,sg_strk_r3_grf1,sg_strk_r3_grf2,r4_kd_f1,r4_kd_f2,r4_sig_str_f1,r4_sig_str_f2,r4_total_str_f1,r4_total_str_f2,r4_td_f1,r4_td_f2,r4_sub_att_f1,r4_sub_att_f2,r4_rev_f1,r4_rev_f2,r4_ctrl_f1,r4_ctrl_f2,sg_strk_r4_sig_str_f1,sg_strk_r4_sig_str_f2,sg_strk_r4_head_f1,sg_strk_r4_head_f2,sg_strk_r4_body_f1,sg_strk_r4_body_f2,sg_strk_r4_leg_f1,sg_strk_r4_leg_f2,sg_strk_r4_distance_f1,sg_strk_r4_distance_f2,sg_strk_r4_clinch_f1,sg_strk_r4_clinch_f2,sg_strk_r4_grf1,sg_strk_r4_grf2,r5_kd_f1,r5_kd_f2,r5_sig_str_f1,r5_sig_str_f2,r5_total_str_f1,r5_total_str_f2,r5_td_f1,r5_td_f2,r5_sub_att_f1,r5_sub_att_f2,r5_rev_f1,r5_rev_f2,r5_ctrl_f1,r5_ctrl_f2,sg_strk_r5_sig_str_f1,sg_strk_r5_sig_str_f2,sg_strk_r5_head_f1,sg_strk_r5_head_f2,sg_strk_r5_body_f1,sg_strk_r5_body_f2,sg_strk_r5_leg_f1,sg_strk_r5_leg_f2,sg_strk_r5_distance_f1,sg_strk_r5_distance_f2,sg_strk_r5_clinch_f1,sg_strk_r5_clinch_f2,sg_strk_r5_grf1,sg_strk_r5_grf2
UFC 185: Pettis vs Dos Anjos,Jared Rosholt,Josh Copeland,1,0,Heavyweight Bout,0,KO/TKO,3,792,192,3,0,0,0.45,0.33,0.625,0.5238095238095238,0.0,,0,0,0,0,87,0,0.0,0.0,0.47,0.17,0.5945945945945946,0.17647058823529413,0.25,,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.54,0.25,0.7307692307692307,0.625,1.0,,0.0,0.0,0.0,0.0,139.0,0.0,0.45,0.33,0.4,0.23076923076923078,1.0,1.0,,,0.3333333333333333,0.2,1.0,0.6,,,0.47,0.17,0.45,0.17647058823529413,0.6666666666666666,,,,0.42857142857142855,0.2,1.0,0.0,0.5,,0.54,0.25,0.5454545454545454,0.25,,,,,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 185: Pettis vs Dos Anjos,Sergio Pettis,Ryan Benoit,0,1,Flyweight Bout,0,KO/TKO,2,394,94,3,0,0,0.38,0.21,0.46987951807228917,0.23255813953488372,1.0,1.0,0,0,0,0,98,13,0.0,1.0,0.4,0.39,0.4,0.3958333333333333,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,0.38,0.21,0.36923076923076925,0.2,1.0,0.5,0.0,,0.36507936507936506,0.2,,0.5,0.5714285714285714,,0.4,0.39,0.34615384615384615,0.3695652173913043,0.6666666666666666,1.0,1.0,,0.4,0.3125,,,,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 185: Pettis vs Dos Anjos,Jake Lindsey,Joe Duffy,0,1,Lightweight Bout,0,KO/TKO,1,107,107,3,0,1,0.26,0.37,0.2608695652173913,0.375,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.37,0.11764705882352941,0.3142857142857143,0.0,0.75,0.8,1.0,0.2608695652173913,0.3684210526315789,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Ronda Rousey,Cat Zingano,1,0,UFC Women's Bantamweight Title Bout,1,Submission,1,14,14,5,0,0,,0.0,,0.0,,,1,0,1,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Jake Ellenberger,Josh Koscheck,1,0,Welterweight Bout,0,Submission,2,560,260,3,0,0,0.32,0.11,0.4473684210526316,0.32432432432432434,,0.33,0,0,0,0,0,116,0.0,0.0,0.23,0.3,0.34615384615384615,0.5,,0.0,1.0,0.0,0.0,0.0,21.0,96.0,,,,,,,,,,,,,,,0.32,0.11,0.3,0.045454545454545456,1.0,0.4,,,0.3,0.04,1.0,1.0,,,0.23,0.3,0.23809523809523808,0.3076923076923077,,,,,0.2,0.3076923076923077,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 185: Pettis vs Dos Anjos,Larissa Pacheco,Germaine de Randamie,0,1,Women's Bantamweight Bout,0,KO/TKO,2,422,122,3,0,0,0.13,0.28,0.22448979591836735,0.3050847457627119,,,0,0,0,0,19,5,0.0,0.0,0.11,0.48,0.11764705882352941,0.48148148148148145,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.13,0.28,0.10526315789473684,0.28,,0.0,0.4,0.4,0.13953488372093023,0.26785714285714285,,1.0,,,0.11,0.48,0.0,0.46153846153846156,0.25,,0.3333333333333333,1.0,0.11764705882352941,0.48148148148148145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Raquel Pennington,Holly Holm,0,1,Women's Bantamweight Bout,0,Decision - Split,3,900,300,3,0,0,0.21,0.13,0.25,0.171875,0.0,,0,0,0,0,14,2,0.0,0.0,0.36,0.26,0.4583333333333333,0.27631578947368424,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28,0.21,0.3064516129032258,0.21621621621621623,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.21,0.13,0.13333333333333333,0.08,0.6666666666666666,0.5,0.4,0.0,0.16666666666666666,0.08771929824561403,1.0,0.75,,,0.36,0.26,0.25806451612903225,0.13559322033898305,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6666666666666666,0.3142857142857143,0.21875,0.6666666666666666,0.5454545454545454,,,0.28,0.21,0.2608695652173913,0.09090909090909091,0.0,0.6,0.8333333333333334,0.5,0.2631578947368421,0.15151515151515152,0.5,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Alan Jouban,Richard Walsh,1,0,Welterweight Bout,0,KO/TKO,1,139,139,3,0,0,0.48,0.5,0.48,0.56,,,0,0,0,0,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.5,0.3888888888888889,0.2727272727272727,0.8,1.0,0.5,0.5,0.5,0.4444444444444444,0.4444444444444444,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Tony Ferguson,Gleison Tibau,1,0,Lightweight Bout,0,Submission,1,157,157,3,0,0,0.28,0.1,0.37777777777777777,0.1,1.0,0.0,2,0,0,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.1,0.18518518518518517,0.1111111111111111,0.42857142857142855,0.0,0.75,0.0,0.26666666666666666,0.1,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Mark Munoz,Roan Carneiro,0,1,Middleweight Bout,0,Submission,1,100,100,3,0,0,0.0,0.33,0.0,0.5,0.0,,0,1,0,0,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.33,,0.0,,,0.0,1.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Roman Salazar,Norifumi Yamamoto,2,2,Bantamweight Bout,0,Could Not Continue,2,457,157,3,0,0,0.24,0.36,0.24242424242424243,0.36666666666666664,0.0,,0,0,0,0,0,0,0.0,0.0,0.5,0.42,0.55,0.42105263157894735,1.0,,0.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,0.24,0.36,0.17857142857142858,0.32,0.5,0.0,1.0,1.0,0.22580645161290322,0.3448275862068966,0.5,1.0,,,0.5,0.42,0.4666666666666667,0.26666666666666666,,1.0,1.0,1.0,0.4666666666666667,0.4117647058823529,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Dhiego Lima,Tim Means,0,1,Welterweight Bout,0,KO/TKO,1,137,137,3,0,2,0.29,0.54,0.2916666666666667,0.5319148936170213,0.0,,0,0,0,0,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.54,0.3,0.5161290322580645,0.0,0.5555555555555556,1.0,1.0,0.21052631578947367,0.39285714285714285,0.6,0.9090909090909091,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Derrick Lewis,Ruan Potts,1,0,Heavyweight Bout,0,KO/TKO,2,498,198,3,0,0,0.54,0.58,0.5833333333333334,0.8214285714285714,0.0,0.33,0,1,1,0,70,100,0.0,0.0,0.7,0.0,0.7090909090909091,0.6666666666666666,0.0,,0.0,0.0,0.0,0.0,178.0,0.0,,,,,,,,,,,,,,,0.54,0.58,0.48148148148148145,0.4,1.0,0.5,1.0,1.0,0.25,0.5555555555555556,1.0,,0.5416666666666666,0.6666666666666666,0.7,0.0,0.6938775510204082,0.0,1.0,,,,0.5,,1.0,,0.7021276595744681,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,James Krause,Valmir Lazaro,0,1,Lightweight Bout,0,Decision - Split,3,900,300,3,0,0,0.43,0.35,0.5306122448979592,0.3559322033898305,0.0,,0,0,0,0,69,24,0.0,0.0,0.41,0.4,0.4266666666666667,0.4090909090909091,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.28,0.41237113402061853,0.2803738317757009,0.0,,0.0,0.0,0.0,0.0,29.0,0.0,0.43,0.35,0.32142857142857145,0.23255813953488372,0.8333333333333334,0.6,0.5714285714285714,0.8333333333333334,0.41025641025641024,0.3508771929824561,1.0,0.5,,,0.41,0.4,0.3620689655172414,0.38461538461538464,0.5714285714285714,0.5,0.6666666666666666,1.0,0.42857142857142855,0.37037037037037035,0.25,0.8571428571428571,,,0.4,0.28,0.35,0.2222222222222222,0.5555555555555556,0.5,1.0,0.8,0.40425531914893614,0.2830188679245283,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Bigfoot vs Mir,Antonio Silva,Frank Mir,0,1,Heavyweight Bout,0,KO/TKO,1,100,100,5,0,1,0.33,0.55,0.3333333333333333,0.5555555555555556,,,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.55,,0.5555555555555556,0.0,,1.0,,0.3333333333333333,0.4,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 184: Rousey vs Zingano,Masio Fullen,Alex Torres,1,0,Featherweight Bout,0,Decision - Split,3,900,300,3,0,0,0.22,0.41,0.2549019607843137,0.42857142857142855,0.5,1.0,0,0,0,0,50,2,0.0,0.0,0.26,0.39,0.3620689655172414,0.44,,0.0,0.0,0.0,0.0,0.0,48.0,76.0,0.0,0.0,0.46,0.23,0.5510204081632653,0.23809523809523808,,0.16,0.0,0.0,0.0,0.0,1.0,117.0,0.22,0.41,0.2,0.35135135135135137,0.6666666666666666,0.6666666666666666,0.0,0.4444444444444444,0.2,0.38095238095238093,0.2,0.5384615384615384,0.5,,0.26,0.39,0.23809523809523808,0.2777777777777778,0.5,0.5,,1.0,0.18181818181818182,0.35294117647058826,0.46153846153846156,0.5,,,0.46,0.23,0.38235294117647056,0.2222222222222222,1.0,1.0,,0.0,0.43478260869565216,0.26666666666666666,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Bigfoot vs Mir,Cezar Ferreira,Sam Alvey,0,1,Middleweight Bout,0,KO/TKO,1,214,214,3,0,1,0.36,0.5,0.3611111111111111,0.5,,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.5,0.2608695652173913,0.5,0.4444444444444444,,0.75,,0.3611111111111111,0.4,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
