event_name,event_date,fight_url
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/c4eb14c3de579842
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/8515f07911765f89
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/84d633d4a9fbf331
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/61a20ff34b6948ba
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/f087a10a6f2bcc99
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/cb1f27818d46af0e
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/901e62b7af57f559
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/c5d5fcf290cc029e
UFC Fight Night: Makhachev vs. Green,02/26/2022,http://ufcstats.com/fight-details/181ceedcacc01d48
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/f7865e5a6d009a87
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/99fd8396cbe1df03
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/93026443e5140415
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/958799d957945a3a
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/04e2d50c24a88dbd
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/25da52bc590ef664
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/e36a5d4d53b97d4e
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/2d8db91f91f68069
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/33cc40fc1da409d3
UFC Fight Night: Walker vs. Hill,02/19/2022,http://ufcstats.com/fight-details/ea63f56779100678
