fighter,fighter_url
Brando Pericic,http://ufcstats.com/fighter-details/d0fd0d9ee560dae7
Louie Sutherland,http://ufcstats.com/fighter-details/cdb7b38b1b357f26
Cam Rowston,http://ufcstats.com/fighter-details/8ebc3a8da015d70c
Junior Tafa,http://ufcstats.com/fighter-details/c15fa95b9a12fde4
Jacob Malkoun,http://ufcstats.com/fighter-details/d4270315cbcf2569
Colby Thicknesse,http://ufcstats.com/fighter-details/ed7d329d7c29428d
Wes Schultz,http://ufcstats.com/fighter-details/b4443fae47e7eb9d
Jonathan Micallef,http://ufcstats.com/fighter-details/f782f953bfe7b5f2
Kody Steele,http://ufcstats.com/fighter-details/aebaa8cec15b083d
Aljamain Sterling,http://ufcstats.com/fighter-details/cb696ebfb6598724
Joselyne Edwards,http://ufcstats.com/fighter-details/f9ab66e67240db7b
Rafa Garcia,http://ufcstats.com/fighter-details/e132d47bd9efbbe0
Davey Grant,http://ufcstats.com/fighter-details/113df4fde64735c6
Raoni Barcelos,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
Ryan Spann,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80
Eric McConico,http://ufcstats.com/fighter-details/9508cc6184cb2450
Jackson McVey,http://ufcstats.com/fighter-details/3eeec2f53cebdf12
Michelle Montague,http://ufcstats.com/fighter-details/ca80d72da81d7224
Cody Durden,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036
Francis Marshall,http://ufcstats.com/fighter-details/5d495dec23d7c68e
Victor Valenzuela,http://ufcstats.com/fighter-details/078695e385ec2f57
Talita Alencar,http://ufcstats.com/fighter-details/d35298b6df168456
Mike Malott,http://ufcstats.com/fighter-details/dd6103dd7127db1d
Charles Jourdain,http://ufcstats.com/fighter-details/f1d64ae34e088832
Jai Herbert,http://ufcstats.com/fighter-details/4c88a1db5a46c6a4
Jasmine Jasudavicius,http://ufcstats.com/fighter-details/a9e260472d321361
Gauge Young,http://ufcstats.com/fighter-details/b2a78df161bd67f9
Marcio Barbosa,http://ufcstats.com/fighter-details/c85bad793cd14e28
Robert Valentin,http://ufcstats.com/fighter-details/0cd0456d6029cec2
Gokhan Saricam,http://ufcstats.com/fighter-details/1a97a3ef4c758fae
Melissa Croden,http://ufcstats.com/fighter-details/51e2f44a8dbf6984
JJ Aldrich,http://ufcstats.com/fighter-details/6fd953151d981979
John Castaneda,http://ufcstats.com/fighter-details/5fa2974cbd18e05c
John Yannis,http://ufcstats.com/fighter-details/450bcab0968562c4
