event_name,fighter_f1,fighter_f2,outcome_f1,outcome_f2,bout_type,title,method,round,tot_fight_time,last_rnd_time,set_rounds,r1_kd_f1,r1_kd_f2,r1_sig_str_f1,r1_sig_str_f2,r1_total_str_f1,r1_total_str_f2,r1_td_f1,r1_td_f2,r1_sub_att_f1,r1_sub_att_f2,r1_rev_f1,r1_rev_f2,r1_ctrl_f1,r1_ctrl_f2,r2_kd_f1,r2_kd_f2,r2_sig_str_f1,r2_sig_str_f2,r2_total_str_f1,r2_total_str_f2,r2_td_f1,r2_td_f2,r2_sub_att_f1,r2_sub_att_f2,r2_rev_f1,r2_rev_f2,r2_ctrl_f1,r2_ctrl_f2,r3_kd_f1,r3_kd_f2,r3_sig_str_f1,r3_sig_str_f2,r3_total_str_f1,r3_total_str_f2,r3_td_f1,r3_td_f2,r3_sub_att_f1,r3_sub_att_f2,r3_rev_f1,r3_rev_f2,r3_ctrl_f1,r3_ctrl_f2,sg_strk_r1_sig_str_f1,sg_strk_r1_sig_str_f2,sg_strk_r1_head_f1,sg_strk_r1_head_f2,sg_strk_r1_body_f1,sg_strk_r1_body_f2,sg_strk_r1_leg_f1,sg_strk_r1_leg_f2,sg_strk_r1_distance_f1,sg_strk_r1_distance_f2,sg_strk_r1_clinch_f1,sg_strk_r1_clinch_f2,sg_strk_r1_grf1,sg_strk_r1_grf2,sg_strk_r2_sig_str_f1,sg_strk_r2_sig_str_f2,sg_strk_r2_head_f1,sg_strk_r2_head_f2,sg_strk_r2_body_f1,sg_strk_r2_body_f2,sg_strk_r2_leg_f1,sg_strk_r2_leg_f2,sg_strk_r2_distance_f1,sg_strk_r2_distance_f2,sg_strk_r2_clinch_f1,sg_strk_r2_clinch_f2,sg_strk_r2_grf1,sg_strk_r2_grf2,sg_strk_r3_sig_str_f1,sg_strk_r3_sig_str_f2,sg_strk_r3_head_f1,sg_strk_r3_head_f2,sg_strk_r3_body_f1,sg_strk_r3_body_f2,sg_strk_r3_leg_f1,sg_strk_r3_leg_f2,sg_strk_r3_distance_f1,sg_strk_r3_distance_f2,sg_strk_r3_clinch_f1,sg_strk_r3_clinch_f2,sg_strk_r3_grf1,sg_strk_r3_grf2,r4_kd_f1,r4_kd_f2,r4_sig_str_f1,r4_sig_str_f2,r4_total_str_f1,r4_total_str_f2,r4_td_f1,r4_td_f2,r4_sub_att_f1,r4_sub_att_f2,r4_rev_f1,r4_rev_f2,r4_ctrl_f1,r4_ctrl_f2,sg_strk_r4_sig_str_f1,sg_strk_r4_sig_str_f2,sg_strk_r4_head_f1,sg_strk_r4_head_f2,sg_strk_r4_body_f1,sg_strk_r4_body_f2,sg_strk_r4_leg_f1,sg_strk_r4_leg_f2,sg_strk_r4_distance_f1,sg_strk_r4_distance_f2,sg_strk_r4_clinch_f1,sg_strk_r4_clinch_f2,sg_strk_r4_grf1,sg_strk_r4_grf2,r5_kd_f1,r5_kd_f2,r5_sig_str_f1,r5_sig_str_f2,r5_total_str_f1,r5_total_str_f2,r5_td_f1,r5_td_f2,r5_sub_att_f1,r5_sub_att_f2,r5_rev_f1,r5_rev_f2,r5_ctrl_f1,r5_ctrl_f2,sg_strk_r5_sig_str_f1,sg_strk_r5_sig_str_f2,sg_strk_r5_head_f1,sg_strk_r5_head_f2,sg_strk_r5_body_f1,sg_strk_r5_body_f2,sg_strk_r5_leg_f1,sg_strk_r5_leg_f2,sg_strk_r5_distance_f1,sg_strk_r5_distance_f2,sg_strk_r5_clinch_f1,sg_strk_r5_clinch_f2,sg_strk_r5_grf1,sg_strk_r5_grf2,event_date,Height_f1,Weight_f1,Reach_f1,STANCE_f1,DOB_f1,Height_f2,Weight_f2,Reach_f2,STANCE_f2,DOB_f2,age_at_fight_f1,age_at_fight_f2
UFC Fight Night: Fiziev vs. Torres,Bekzat Almakhan,Jean Matsumoto,0,1,Bantamweight Bout,0,Decision - Unanimous,3,900,300,3,1,0,0.56,0.38,0.5675675675675675,0.4385964912280701,,0.25,0,0,0,0,2,37,0.0,0.0,0.43,0.34,0.4393939393939394,0.3608247422680412,,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.35,0.31,0.3508771929824561,0.3333333333333333,,0.5,0.0,0.0,0.0,0.0,0.0,29.0,0.56,0.38,0.53125,0.2222222222222222,0.75,0.75,1.0,0.75,0.5555555555555556,0.3404255319148936,1.0,1.0,,0.75,0.43,0.34,0.3934426229508196,0.2658227848101265,1.0,0.6666666666666666,,0.8571428571428571,0.421875,0.3370786516853932,1.0,0.5,,,0.35,0.31,0.3272727272727272,0.2459016393442623,1.0,0.25,,0.6923076923076923,0.3272727272727272,0.32,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-27,67,135.0,68,Orthodox,1997-10-08,66,135.0,68,Orthodox,1999-09-09,28,26
UFC Fight Night: Fiziev vs. Torres,Tahir Abdullayev,Jefferson Nascimento,1,0,Welterweight Bout,0,KO/TKO,3,868,268,3,0,0,0.25,0.46,0.25,0.4666666666666667,0.0,0.0,0,0,0,0,0,25,0.0,0.0,0.25,0.44,0.25,0.4411764705882353,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.56,0.7313432835820896,0.6274509803921569,0.5,,0.0,0.0,0.0,0.0,192.0,8.0,0.25,0.46,0.125,0.1666666666666666,0.5,0.7142857142857143,1.0,0.5,0.2222222222222222,0.4285714285714285,0.5,1.0,,,0.25,0.44,0.1818181818181818,0.3333333333333333,1.0,0.5,1.0,1.0,0.25,0.4411764705882353,,,,,0.6,0.56,0.5555555555555556,0.2727272727272727,0.8571428571428571,1.0,,0.3333333333333333,0.3076923076923077,0.5454545454545454,0.75,1.0,0.7307692307692307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-27,68,170.0,73,Orthodox,1997-02-02,68,170.0,70,Orthodox,1998-11-19,29,27
UFC Fight Night: Kape vs. Horiguchi,Manel Kape,Kyoji Horiguchi,1,0,Flyweight Bout,0,KO/TKO,3,762,162,5,0,0,0.26,0.53,0.3636363636363636,0.5294117647058824,,0.33,0,0,0,0,0,15,0.0,0.0,0.4,0.73,0.8387096774193549,0.7346938775510204,,1.0,0.0,0.0,0.0,0.0,0.0,225.0,1.0,0.0,0.37,0.34,0.3714285714285714,0.3478260869565217,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.26,0.53,0.0714285714285714,0.5,0.5,0.6666666666666666,1.0,0.5,0.2777777777777778,0.5333333333333333,0.0,,,,0.4,0.73,0.0,0.6923076923076923,1.0,1.0,1.0,,0.4,0.8,,,,0.7,0.37,0.34,0.3333333333333333,0.3636363636363636,,,1.0,0.0,0.2608695652173913,0.3636363636363636,,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20,65,125.0,68,Southpaw,1993-11-14,64,125.0,63,Orthodox,1990-10-12,32,35
UFC Fight Night: Kape vs. Horiguchi,Ion Cutelaba,Navajo Stirling,0,1,Light Heavyweight Bout,0,KO/TKO,2,503,203,3,0,0,0.23,0.66,0.6181818181818182,0.7419354838709677,1.0,,1,0,1,0,113,70,0.0,0.0,0.59,0.78,0.7272727272727273,0.782608695652174,0.6,0.0,0.0,0.0,1.0,2.0,68.0,43.0,,,,,,,,,,,,,,,0.23,0.66,0.1666666666666666,0.6,1.0,0.8571428571428571,1.0,0.5,0.217391304347826,0.6818181818181818,0.3333333333333333,0.5,,,0.59,0.78,0.5,0.7435897435897436,0.6666666666666666,1.0,0.7142857142857143,1.0,0.5,0.7272727272727273,1.0,,1.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20,73,205.0,75,Southpaw,1993-12-14,76,205.0,79,Orthodox,1997-11-07,32,28
UFC Fight Night: Kape vs. Horiguchi,Hyder Amil,Christian Rodriguez,0,1,Featherweight Bout,0,Submission,1,223,223,3,0,1,0.47,0.52,0.4791666666666667,0.5348837209302325,0.0,0.33,0,1,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.52,0.3666666666666666,0.4857142857142857,0.875,1.0,0.5,,0.4523809523809524,0.5294117647058824,0.6666666666666666,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20,69,145.0,70,Switch,1990-05-28,67,145.0,71,Orthodox,1997-12-17,36,28
UFC Fight Night: Kape vs. Horiguchi,Melsik Baghdasaryan,Murtazali Magomedov,0,1,Featherweight Bout,0,Submission,1,77,77,3,0,0,0.23,0.71,0.2307692307692307,0.7777777777777778,,0.5,0,1,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.71,0.0,0.6,1.0,,0.0,1.0,0.2307692307692307,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20,69,145.0,70,Southpaw,1992-01-28,69,145.0,70,Orthodox,1999-08-26,34,26
UFC Fight Night: Kape vs. Horiguchi,Vinicius Oliveira,Andre Fili,1,0,Featherweight Bout,0,KO/TKO,2,596,296,3,0,0,0.62,0.41,0.627906976744186,0.4150943396226415,0.0,,0,0,0,0,15,0,1.0,0.0,0.71,0.3,0.7155963302752294,0.3,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,0.62,0.41,0.3,0.3541666666666667,0.875,1.0,0.9333333333333332,,0.6190476190476191,0.4117647058823529,1.0,0.5,,,0.71,0.3,0.5857142857142857,0.25,0.9130434782608696,1.0,1.0,,0.6847826086956522,0.288135593220339,0.8181818181818182,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20,69,145.0,70,Switch,1995-11-30,71,145.0,74,Orthodox,1990-06-25,30,36
UFC Fight Night: Kape vs. Horiguchi,Andre Lima,Kevin Borjas,0,1,Flyweight Bout,0,Decision - Unanimous,3,900,300,3,0,0,0.47,0.35,0.4761904761904761,0.3529411764705882,,,0,0,0,0,0,0,0.0,0.0,0.4,0.39,0.4146341463414634,0.391304347826087,,0.0,0.0,0.0,0.0,0.0,33.0,7.0,0.0,0.0,0.46,0.38,0.5526315789473685,0.4,0.0,,0.0,0.0,0.0,0.0,68.0,1.0,0.47,0.35,0.2941176470588235,0.3255813953488372,0.5,0.5,0.6666666666666666,0.5,0.4761904761904761,0.3529411764705882,,,,,0.4,0.39,0.2777777777777778,0.2333333333333333,0.4166666666666667,0.6428571428571429,0.6,1.0,0.3846153846153846,0.3777777777777777,1.0,1.0,,,0.46,0.38,0.3529411764705882,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.4516129032258064,0.3513513513513513,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20,67,125.0,67,Orthodox,1999-02-04,65,125.0,68,Orthodox,1997-12-06,27,28
UFC Fight Night: Kape vs. Horiguchi,Bia Mesquita,Melissa Mullins,1,0,Women's Bantamweight Bout,0,Submission,1,196,196,3,0,0,0.3,0.4,0.7567567567567568,0.4642857142857143,,1.0,1,0,0,0,12,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.2857142857142857,0.3478260869565217,0.5,1.0,0.0,,0.3,0.3636363636363636,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20,64,135.0,67,Orthodox,1991-04-07,67,135.0,68,Orthodox,1991-07-23,35,34
UFC Fight Night: Kape vs. Horiguchi,Allan Nascimento,Mitch Raposo,0,1,Flyweight Bout,0,Decision - Split,3,900,300,3,0,0,0.25,0.46,0.2678571428571428,0.5,0.0,,0,0,0,0,24,14,0.0,0.0,0.41,0.39,0.4,0.4081632653061224,0.0,,0.0,0.0,0.0,0.0,26.0,12.0,1.0,0.0,0.6,0.44,0.7078651685393258,0.68,,0.0,0.0,0.0,0.0,0.0,211.0,21.0,0.25,0.46,0.131578947368421,0.4137931034482758,0.5454545454545454,1.0,0.6,,0.2307692307692307,0.46875,1.0,,,,0.41,0.39,0.2333333333333333,0.3095238095238095,0.8181818181818182,1.0,0.5714285714285714,,0.3777777777777777,0.3829787234042553,1.0,1.0,,,0.6,0.44,0.5714285714285714,0.4444444444444444,0.6666666666666666,,0.6666666666666666,,0.4615384615384615,0.4444444444444444,0.8333333333333334,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20,68,125.0,69,Orthodox,1991-09-11,65,125.0,64,Switch,1998-10-16,34,27
